ESF;UC;centroid (lat);centroid (long);distance (km)
federal;ESTAÇÃO ECOLÓGICA DE MATA PRETA;-26,48059064;-52,25100711;13,22994939
federal;REFúGIO DE VIDA SILVESTRE DO RIO DOS FRADES;-16,67175706;-39,11354265;2,678520281
federal;REFÚGIO DE VIDA SILVESTRE DOS CAMPOS DE PALMAS;-26,53401164;-51,59804558;14,47252594
federal;RESERVA BIOLÓGICA AUGUSTO RUSCHI;-19,88865884;-40,54556362;5,906745893
federal;PARQUE NACIONAL DA SERRA DOS ORGÃOS;-22,49514322;-43,07323046;13,11708398
federal;PARQUE NACIONAL MARINHO DAS ILHAS DOS CURRAIS;-25,74168062;-48,35200479;3,235659179
federal;RESERVA BIOLÓGICA DO LAGO PIRATUBA;1,50733287;-50,22560216;45,02134121
federal;PARQUE NACIONAL DE UBAJARA;-3,7538756;-40,91043738;12,90433983
federal;ESTAÇÃO ECOLÓGICA DE CARACARAÍ;1,77674976;-61,30439234;26,12076351
federal;RESERVA BIOLÓGICA UNIÃO;-22,42487954;-42,03795621;5,752446015
federal;PARQUE NACIONAL DA SERRA DO PARDO;-5,81259532;-52,99093028;53,64743888
federal;ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS;-10,85647313;-46,69211404;95,70866171
federal;PARQUE NACIONAL DA SERRA DE ITABAIANA;-10,77886333;-37,34914797;10,02270228
federal;REFÚGIO DE VIDA SILVESTRE DE SANTA CRUZ;-20,00772997;-40,05127108;11,63036094
federal;RESERVA BIOLÓGICA DO CÓRREGO GRANDE;-18,26249359;-39,80517016;4,463972752
federal;ESTAÇÃO ECOLÓGICA DE PIRAPITINGA;-18,36451033;-45,32396822;3,587320132
federal;PARQUE NACIONAL DO JAMANXIM;-5,67945365;-55,78292256;85,36115118
federal;RESERVA BIOLÓGICA DE COMBOIOS;-19,67832426;-39,89911668;8,279806438
federal;PARQUE NACIONAL GRANDE SERTÃO VEREDAS;-15,08385307;-45,83716338;38,73230453
federal;PARQUE NACIONAL DA SERRA GERAL;-29,12229801;-50,01192976;21,47047879
federal;RESERVA BIOLÓGICA DE UNA;-15,17649198;-39,10515596;11,87021676
federal;PARQUE NACIONAL DA SERRA DA CANASTRA;-20,33075321;-46,58428224;52,20161231
federal;ESTAÇÃO ECOLÓGICA RIO ACRE;-10,94520793;-70,28144141;32,64525074
federal;RESERVA BIOLÓGICA DA CONTAGEM;-15,6397952;-47,88002091;5,043500041
federal;PARQUE NACIONAL DE BOA NOVA;-14,38986554;-40,15480787;18,56120892
federal;RESERVA BIOLÓGICA BOM JESUS;-25,3235984;-48,57961417;16,84728247
federal;PARQUE NACIONAL DO DESCOBRIMENTO;-17,08470989;-39,30249318;14,02430365
federal;ESTAÇÃO ECOLÓGICA DE NIQUIÁ;1,25817698;-61,50230437;55,75626072
federal;ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ;-2,23375755;-68,36229463;107,3370454
federal;PARQUE NACIONAL GUARICANA;-25,71232866;-48,86050015;18,70202224
federal;ESTAÇÃO ECOLÓGICA DE URUÇUÍ-UNA;-8,8639611;-45,20024855;32,56805519
federal;RESERVA BIOLOGICA DE PEDRA TALHADA;-9,22800356;-36,42767248;5,017579511
federal;PARQUE NACIONAL DA CHAPADA DOS VEADEIROS;-14,04182252;-47,64470595;30,87802742
federal;ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;-24,82070327;-47,44274901;82,57694396
federal;ESTAÇÃO ECOLÓGICA DO CASTANHÃO;-5,63029055;-38,49210302;11,46880716
federal;PARQUE NACIONAL DA LAGOA DO PEIXE;-31,24943993;-50,95592476;32,99051008
federal;MONUMENTO NATURAL DAS ILHAS CAGARRAS;-23,05140031;-43,19684277;3,588259045
federal;PARQUE NACIONAL DA SERRA DO ITAJAÍ;-27,1088311;-49,18483817;20,96049039
federal;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO;-8,97992379;-54,67138151;47,89237002
federal;PARQUE NACIONAL RESTINGA DE JURUBATIBA;-22,20398215;-41,49999806;23,4513454
federal;PARQUE NACIONAL DA SERRA DO DIVISOR;-8,10573801;-73,34325224;115,5387272
federal;PARQUE NACIONAL DE PACAÁS NOVOS;-11,13291139;-63,33343697;98,59121014
federal;PARQUE NACIONAL DAS EMAS;-18,12206889;-52,90799301;29,51460995
federal;ESTAÇÃO ECOLÓGICA DE TAMOIOS;-23,06222318;-44,48419239;22,1183872
federal;PARQUE NACIONAL DA SERRA DO GANDARELA;-20,1003786;-43,66355738;21,33120135
